iter	Logloss
0	0.6175331988
1	0.5599334229
2	0.5092350683
3	0.4738135096
4	0.4452650345
5	0.4210227984
6	0.4032121929
7	0.3884443502
8	0.378602267
9	0.3719344617
10	0.3641200019
11	0.357054412
12	0.3519691484
13	0.3467431173
14	0.3434050694
15	0.3401018264
16	0.3365933682
17	0.3336213759
18	0.3312341169
19	0.3293023237
20	0.3275200034
21	0.3259605758
22	0.3242809613
23	0.3226489457
24	0.3216087889
25	0.3203891654
26	0.3193450198
27	0.3183261533
28	0.3173499242
29	0.3164822278
30	0.3154781641
31	0.3144169298
32	0.3137045904
33	0.3130170373
34	0.3123029913
35	0.311793271
36	0.310917858
37	0.3097927618
38	0.3093883664
39	0.3088804074
40	0.3077155189
41	0.3063013779
42	0.3057046986
43	0.3052886518
44	0.3048163277
45	0.3044300258
46	0.3036204704
47	0.3032865334
48	0.3030023361
49	0.3026755777
50	0.3023272794
51	0.3020317334
52	0.3015780753
53	0.3010531497
54	0.3007966611
55	0.3004161354
56	0.3001047867
57	0.2998409872
58	0.2995969698
59	0.2992132347
60	0.2989437241
61	0.2986792919
62	0.2984406263
63	0.2980626973
64	0.2976835976
65	0.2975370447
66	0.2964243021
67	0.2961522238
68	0.2958229989
69	0.2956178922
70	0.2953452736
71	0.2949099884
72	0.2946846159
73	0.2943548312
74	0.294170204
75	0.2939047199
76	0.2937165128
77	0.2934772559
78	0.2933571687
79	0.2932037576
80	0.2930482202
81	0.2927682553
82	0.2924973027
83	0.2923235526
84	0.2920541
85	0.2917197891
86	0.2915945527
87	0.2912755376
88	0.2905358209
89	0.290388524
90	0.2902011737
91	0.2900115511
92	0.2898167955
93	0.2897117845
94	0.2894879964
95	0.2893897832
96	0.2892217997
97	0.2890752824
98	0.2888599675
99	0.2886848964
100	0.2885646834
101	0.2884630816
102	0.2883630331
103	0.2882805476
104	0.2882186493
105	0.2880915509
106	0.2878723125
107	0.2874669616
108	0.2873304319
109	0.2871838986
110	0.2870788713
111	0.2868755347
112	0.2867938884
113	0.2865983024
114	0.286452443
115	0.2862808389
116	0.2857393549
117	0.2856180545
118	0.2855237559
119	0.2853449613
120	0.2849225594
121	0.2847977346
122	0.2846843281
123	0.2845595881
124	0.2844550016
125	0.2843192319
126	0.2842250754
127	0.2841048235
128	0.2839855504
129	0.2838503521
130	0.2835148122
131	0.28318735
132	0.2830557825
133	0.2829360143
134	0.2828257291
135	0.2826577131
136	0.2825633752
137	0.2820880525
138	0.2818940267
139	0.2817933742
140	0.2817125608
141	0.2815673347
142	0.2813867677
143	0.2812790009
144	0.2811456868
145	0.281057085
146	0.2809478134
147	0.2805650988
148	0.280360375
149	0.2802111573
150	0.2801194102
151	0.2800129306
152	0.2799226645
153	0.2798240761
154	0.2796932338
155	0.2795870195
156	0.2794877329
157	0.2793961734
158	0.2788651776
159	0.2787598456
160	0.2786399141
161	0.2785430095
162	0.2784111494
163	0.2782929317
164	0.2781908253
165	0.2776796718
166	0.2775244895
167	0.27738797
168	0.2772728003
169	0.2771856231
170	0.276985029
171	0.2768708204
172	0.2767415413
173	0.276648788
174	0.2765257132
175	0.2764062138
176	0.2761688994
177	0.2760998252
178	0.2759707913
179	0.2758803787
180	0.2757703031
181	0.2756568515
182	0.2755128828
183	0.2754204445
184	0.2753336006
185	0.2750077115
186	0.2747103169
