iter	Passed	Remaining
0	95	95841
1	119	59467
2	193	64141
3	244	60933
4	273	54369
5	301	49909
6	331	47006
7	354	43957
8	366	40362
9	384	38030
10	398	35805
11	408	33652
12	420	31901
13	431	30377
14	439	28863
15	450	27682
16	459	26549
17	468	25551
18	480	24788
19	488	23934
20	502	23404
21	512	22766
22	638	27136
23	706	28742
24	812	31698
25	868	32522
26	937	33800
27	1006	34952
28	1056	35364
29	1109	35861
30	1218	38101
31	1302	39385
32	1359	39848
33	1440	40931
34	1493	41181
35	1532	41049
36	1605	41789
37	1633	41344
38	1658	40869
39	1677	40268
40	1698	39738
41	1727	39411
42	1770	39408
43	1860	40425
44	1888	40072
45	1947	40399
46	1991	40382
47	2012	39905
48	2060	39990
49	2090	39711
50	2159	40186
51	2238	40810
52	2265	40487
53	2324	40724
54	2350	40382
55	2448	41279
56	2486	41141
57	2511	40783
58	2538	40480
59	2578	40395
60	2619	40328
61	2640	39944
62	2654	39486
63	2666	39001
64	2698	38812
65	2770	39207
66	2807	39090
67	2825	38728
68	2861	38603
69	2890	38404
70	2926	38296
71	2986	38497
72	3003	38141
73	3068	38399
74	3100	38234
75	3114	37861
76	3130	37526
77	3144	37175
78	3158	36823
79	3173	36500
80	3204	36356
81	3220	36051
82	3238	35776
83	3272	35683
84	3306	35590
85	3339	35496
86	3452	36233
87	3534	36634
88	3590	36754
89	3629	36698
90	3658	36548
91	3695	36476
92	3812	37183
93	3834	36955
94	3888	37046
95	3996	37637
96	4051	37714
97	4081	37567
98	4206	38286
99	4259	38331
100	4297	38249
101	4371	38486
102	4419	38484
103	4439	38248
104	4469	38093
105	4507	38015
106	4538	37879
107	4581	37837
108	4648	37997
109	4688	37935
110	4712	37744
111	4736	37553
112	4759	37363
113	4795	37273
114	4848	37314
115	4887	37248
116	4947	37338
117	4975	37188
118	4997	36999
119	5053	37062
120	5077	36886
121	5097	36684
122	5114	36470
123	5161	36463
124	5233	36636
125	5281	36635
126	5334	36670
127	5441	37070
128	5573	37631
129	5615	37577
130	5696	37785
131	5807	38188
132	5830	38006
133	5896	38107
134	5921	37940
135	5953	37820
136	6003	37818
137	6054	37818
138	6092	37738
139	6164	37865
140	6201	37779
141	6322	38204
142	6352	38073
143	6372	37883
144	6407	37781
145	6455	37758
146	6553	38026
147	6578	37869
148	6616	37787
149	6649	37682
150	6718	37777
151	6751	37663
152	6771	37485
153	6866	37723
154	6922	37736
155	6973	37726
156	7033	37766
157	7063	37643
158	7136	37748
159	7178	37688
160	7216	37604
161	7256	37539
162	7300	37487
163	7336	37399
164	7370	37300
165	7431	37338
166	7477	37296
167	7522	37253
168	7660	37669
169	7684	37516
170	7712	37390
171	7748	37298
172	7787	37227
173	7822	37135
174	7848	36998
175	7881	36902
176	7919	36822
177	7937	36653
178	7963	36525
179	8019	36533
180	8033	36348
181	8060	36229
182	8080	36075
183	8097	35909
184	8111	35736
185	8125	35558
186	8174	35540
187	8189	35373
188	8229	35312
189	8248	35162
190	8280	35073
191	8381	35271
192	8409	35163
193	8429	35023
194	8465	34947
195	8504	34887
196	8530	34771
197	8582	34763
198	8603	34630
199	8645	34582
200	8685	34524
201	8702	34378
202	8721	34242
203	8769	34220
204	8793	34103
205	8805	33940
206	8884	34035
207	8927	33991
208	8952	33882
209	8986	33807
210	9091	33994
211	9132	33946
212	9171	33888
213	9200	33793
214	9244	33754
215	9294	33735
216	9386	33870
217	9414	33771
218	9443	33675
219	9509	33714
220	9560	33699
221	9605	33663
222	9629	33551
223	9693	33582
224	9756	33605
225	9782	33503
226	9802	33380
227	9825	33268
228	9921	33402
229	9958	33339
230	10001	33293
231	10057	33292
232	10092	33224
233	10135	33179
234	10167	33097
235	10192	32996
236	10221	32906
237	10277	32904
238	10345	32941
239	10380	32871
240	10423	32828
241	10482	32833
242	10513	32750
243	10535	32643
244	10643	32798
245	10739	32916
246	10876	33158
247	10952	33211
248	11015	33224
249	11064	33194
250	11146	33263
251	11181	33190
252	11206	33089
253	11248	33038
254	11281	32960
255	11334	32941
256	11362	32848
257	11391	32761
258	11455	32773
259	11492	32708
260	11517	32611
261	11543	32514
262	11602	32514
263	11635	32437
264	11760	32620
265	11788	32530
266	11855	32546
267	11893	32485
268	11960	32502
269	11983	32399
270	11995	32268
271	12012	32150
272	12038	32058
273	12053	31937
274	12337	32527
275	12401	32531
276	12506	32643
277	12594	32709
278	12736	32913
279	12866	33084
280	12921	33063
281	13105	33367
282	13156	33333
283	13226	33346
284	13265	33280
285	13298	33199
286	13341	33145
287	13366	33045
288	13386	32934
289	13453	32938
290	13475	32832
291	13503	32742
292	13733	33139
293	13913	33411
294	13942	33319
295	13999	33296
296	14079	33327
297	14155	33346
298	14195	33281
299	14261	33277
300	14461	33582
301	14582	33704
302	14624	33641
303	14889	34090
304	14923	34007
305	15091	34228
306	15193	34295
307	15247	34258
308	15279	34169
309	15327	34115
310	15410	34140
311	15463	34099
312	15575	34185
